EntregaID;Dia;Mes;Anio;NombreCliente;Direccion;NombreEmpleadoEntrega;PuestoEmpleadoEntrega;CiudadEntrega;NombreProducto;Descripción;Peso;TiempoEntrega;EstadoEntrega;CostoEnvio;PrecioProducto
964;Martes;Mayo;2023;Lucía Reyes;Dirección 1;Empleado 1;Puesto 1;San Lucas Sacatepéquez; Paquete de libros; Paquete de libros;4.82;18;En Bodega;12.91;57.4
814;Sábado;Noviembre;2023;Lorena Mendoza;Dirección 2;Empleado 2;Puesto 2;San Marcos; Envío de productos frágiles; Envío de productos frágiles;2.78;6;Entregado;16.31;39.27
155;Jueves;Marzo;2023;Isabel López;Dirección 3;Empleado 3;Puesto 3;Patulul; Envío de artículos de belleza; Envío de artículos de belleza;7.67;46;Pendiente;38.34;54.11
174;Lunes;Febrero;;Eduardo Delgado;Dirección 4;Empleado 4;Puesto 4;Jocotenango; Envío internacional; Envío internacional;6.91;104;Recolectado;21.42;18.47
270;Sábado;Enero;2023;Roberto Ochoa;Dirección 5;Empleado 5;Puesto 5;Barberena; Envío de productos electrónicos; Envío de productos electrónicos;0.93;108;Recolectado;38.52;72.21
593;Sábado;Agosto;2022;Miguel Aguilar;Dirección 6;Empleado 6;Puesto 6;Nahualá; Bulto pesado; Bulto pesado;3.44;81;Entregado;12.82;
786;Lunes;Febrero;2023;Andrés Flores;Dirección 7;Empleado 7;Puesto 7;Sumpango; Envío de productos de limpieza; Envío de productos de limpieza;4.56;22;Devolución;32.04;32.46
762;Sábado;Mayo;2023;Patricia López;Dirección 8;Empleado 8;Puesto 8;Petapa; Paquete sensible al calor; Paquete sensible al calor;6.43;15;Devolución;42.6;51.93
526;Miércoles;Septiembre;2023;Eduardo Vargas;Dirección 9;Empleado 9;Puesto 9;Barberena; Paquete de libros; Paquete de libros;1.63;49;En Bodega;14.21;36.93
843;Sábado;Abril;2022;Joaquín Prieto;Dirección 10;Empleado 10;Puesto 10;Chimaltenango; Envío de juguetes; Envío de juguetes;9.74;4;Pendiente;9.07;80.02
829;Sábado;Julio;2021;Víctor Acosta;Dirección 11;Empleado 11;Puesto 11;San Juan Sacatepéquez; Caja de ropa; Caja de ropa;5.37;27;Entregado;47.1;10.64
779;Jueves;Marzo;2020;Juan Núñez;Dirección 12;Empleado 12;Puesto 12;Puerto Barrios; Caja de tecnología; Caja de tecnología;7.53;93;En Bodega;7.05;24.44
751;Viernes;Abril;2023;Roberto Jiménez;Dirección 13;Empleado 13;Puesto 13;Villa Nueva; Caja con rastreo GPS; Caja con rastreo GPS;4.35;76;Recolectado;41.56;47.54
979;Martes;Febrero;2022;Carolina Gómez;Dirección 14;Empleado 14;Puesto 14;San Pablo Jocopilas; Envío en fin de semana; Envío en fin de semana;7.44;96;En Bodega;27.06;
622;Domingo;Octubre;2022;Laura Paredes;Dirección 15;Empleado 15;Puesto 15;Mazatenango; Caja de tecnología; Caja de tecnología;9.3;4;;28.71;88.71
30;Jueves;Junio;2022;Francisco Silva;Dirección 16;Empleado 16;Puesto 16;Malacatán; Envío de artículos personales; Envío de artículos personales;2.9;105;Entregado;34.4;
